idProduct,idCategory_x,AVG,LOW,TREND,AVG1,AVG7,AVG30,AVGFOIL,LOWFOIL,trend-foil,avg1-foil,avg7-foil,avg30-foil,LOWEX+,name,idCategory_y,categoryName,idExpansion,idMetacard,dateAdded,expansionName,real_discount,lowex_to_trend_ratio,price_momentum,condition_premium,is_buyable,min_sell_price,best_scenario_type,best_scenario_margin
250421,1,100.0,0.0,100.21,100.0,63.33,63.33,,,0.0,,,,0.0,Wurm Token (Green 6/6),1.0,Magic Single,1328,9409.0,2007-01-01 00:00:00,,0.36802714299970063,0.0,0.5790304752881731,0.0,True,76.66263157894737,TREND,0.5032291173219642
16669,1,150.0,0.0,158.38,150.0,124.11,124.11,,,0.0,,,,0.0,Wall of Wood,1.0,Magic Single,76,6500.0,2007-01-01 00:00:00,,0.2163783305972976,0.0,0.2086052695189751,0.0,True,150.23842105263157,TREND,0.21231971638062996
257981,1,140.0,0.0,133.41,130.0,74.98,68.86,,,0.0,,,,0.0,Black Border Stripes/Two Sides Black Border Filler Card,1.0,Magic Single,1408,206384.0,2007-01-01 00:00:00,,0.4379731654298778,0.0,0.7337956788476926,0.0,True,90.76526315789475,TREND,0.6903107495332087
16726,1,0.0,0.0,199.99,199.99,101.0,101.0,,,,,,,0.0,Psychic Venom,1.0,Magic Single,76,4374.0,2007-01-01 00:00:00,,0.4949747487374369,0.0,0.9800990099009902,0.0,True,122.26315789473684,TREND,0.8810940594059405
16758,1,0.0,0.0,152.2,130.0,86.4,86.4,,,,,,,0.0,Weakness,1.0,Magic Single,76,6555.0,2007-01-01 00:00:00,,0.4323258869908015,0.0,0.5046296296296295,0.0,True,104.58947368421053,TREND,0.67349537037037
250418,1,100.0,0.0,100.21,100.0,63.3,63.3,,,0.0,,,,0.0,Elephant Token (Green 3/3),1.0,Magic Single,1328,9405.0,2007-01-01 00:00:00,,0.36832651431992813,0.0,0.5797788309636651,0.0,True,76.62631578947368,TREND,0.5039415481832542
250420,1,100.0,0.0,100.21,100.0,63.33,63.33,,,0.0,,,,0.0,Squirrel Token (Green 1/1),1.0,Magic Single,1328,9106.0,2007-01-01 00:00:00,,0.36802714299970063,0.0,0.5790304752881731,0.0,True,76.66263157894737,TREND,0.5032291173219642
16824,1,0.0,0.0,236.23,236.23,118.19,118.19,,,0.0,,,,0.0,Wall of Fire,1.0,Magic Single,76,6470.0,2007-01-01 00:00:00,,0.49968251280531684,0.0,0.9987308570945088,0.0,True,143.0721052631579,TREND,0.8987943142397832
16773,1,0.0,0.0,164.0,150.0,90.01,90.01,,,,,,,0.0,Paralyze,1.0,Magic Single,76,4088.0,2007-01-01 00:00:00,,0.4511585365853658,0.0,0.6664815020553271,0.0,True,108.95947368421054,TREND,0.7309187868014663
16771,1,0.0,0.0,200.0,200.0,100.01,100.01,,,,,,,0.0,Plague Rats,1.0,Magic Single,76,4245.0,2007-01-01 00:00:00,,0.49994999999999995,0.0,0.9998000199980001,0.0,True,121.06473684210526,TREND,0.8998100189981001
